TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,0,11025973.9010553,14.5979538789057,3195.7308568467,251.968392177621,4.04011491998972,1.57164504900681E-07,0,29.3973304317909,33.5795090068557,41.0470734271983,11024946.0109106,-38.249095916748,0,0,0,0
0.139999999926658,0,11025995.7403959,37.8712663240884,3195.73743276532,251.966127493351,4.04011491998972,1.31815381299119E-07,0,29.4370014165224,33.5488546949234,41.0471998003842,11024966.9894483,-38.2492855072021,0,0,0,0
0.359999999811407,0,11026030.0584585,74.1116176878194,3195.74776594159,251.96256877459,4.04011491998972,2.25760315421692E-08,0,29.5152484396244,33.488789305209,41.0479294313267,11025000.2855299,-38.250114440918,0,0,0,0
0.579999999696156,0,11026064.3754194,110.348708251353,3195.75809873907,251.95901014361,4.04011491998972,7.06186396379422E-08,0,29.5785265474544,33.4385896725762,41.0477422139277,11025033.753462,-38.2500263214111,0,0,0,0
0.799999999580905,0,11026098.6912786,146.589085536238,3195.76843125885,251.955451596517,4.04011491998972,3.86405760184361E-08,0,29.5998482396076,33.4199781281979,41.0466740221635,11025067.0096705,-38.2490573883057,0,0,0,0
1.01999999946565,0,11026133.0060363,182.826201543157,3195.77876348406,251.951893132814,4.04011491998972,7.54914981687551E-09,0,29.574327267847,33.4382298374496,41.0454612284044,11025100.6743904,-38.2479396820068,0,0,0,0
1.2399999993504,0,11026167.3196925,219.066606594759,3195.78909536556,251.948334753012,4.04011491998972,9.20948139428686E-09,0,29.518450917017,33.4804724660753,41.0443264178485,11025134.9998166,-38.2469051361084,0,0,0,0
1.45999999923515,0,11026201.632247,255.319325739306,3195.79942689458,251.944776460549,4.04011491998972,1.86824825692305E-08,0,29.460513046136,33.5241720399379,41.0432472316129,11025170.0750628,-38.2459297180176,0,0,0,0
1.6799999991199,0,11026235.9437,291.556480579471,3195.80975808495,251.941218251273,4.04011491998972,2.94227429235518E-08,0,29.4267005512841,33.5490048232702,41.042281405234,11025206.2724479,-38.2450550079346,0,0,0,0
1.89999999900465,0,11026270.2540513,327.796925721965,3195.82008893306,251.937660128908,4.04011491998972,3.17656548767728E-08,0,29.4293090196547,33.5453695473391,41.0412801921929,11025242.0792945,-38.2441543579102,0,0,0,0
2.1199999988894,0,11026304.5633011,364.034107052062,3195.83041947112,251.934102090737,4.04011491998972,1.62921617385102E-08,0,29.4626911561169,33.5179627827945,41.0404438390825,11025276.6337067,-38.2434181213379,0,0,0,0
2.33999999877415,0,11026338.8714494,400.274578937231,3195.84074967972,251.930544138342,4.04011491998972,1.25857299818147E-08,0,29.5077749212911,33.4814985603449,41.039742706214,11025314.14964,-38.2428207397461,0,0,0,0
2.5599999986589,0,11026373.1784962,436.5117867792,3195.85107956308,251.926986270344,4.04011491998972,1.36712047358507E-08,0,29.5424071629646,33.4531819259893,41.0390925370554,11025354.0138508,-38.2422637939453,0,0,0,0
2.77999999854364,0,11026407.4844413,472.752285303777,3195.86140910655,251.923428486533,4.04011491998972,1.7796916793361E-08,0,29.5517203837945,33.444602709363,41.0383274069185,11025392.9455512,-38.2416015625,0,0,0,0
2.99999999842839,0,11026441.789285,509.005097158823,3195.87173831578,251.919870788697,4.04011491998972,1.73340697840017E-08,0,29.5340570190038,33.4569974739578,41.0373724082188,11025429.9046808,-38.240743637085,0,0,0,0
3.21999999831314,0,11026476.0930271,545.242344394766,3195.88206719209,251.916313174839,4.04011491998972,1.44243958476687E-08,0,29.5001340811619,33.4819446710337,41.0362920310518,11025466.1182729,-38.239762878418,0,0,0,0
3.43999999819789,0,11026510.3956677,581.482883298879,3195.89239575706,251.912755646401,4.04011491998972,1.00282041265332E-08,0,29.4679930557088,33.5056080419589,41.035330231812,11025502.9838692,-38.2388996124268,0,0,0,0
3.65999999808264,0,11026544.6972067,617.720156878915,3195.90272394949,251.909198201863,4.04011491998972,2.863501618364E-08,0,29.4536557278137,33.5158195135667,41.0347023727904,11025539.499667,-38.2383697509766,0,0,0,0
3.87999999796739,0,11026578.9976442,653.960722064997,3195.91305179858,251.905640846805,4.04011491998972,2.66062983639863E-08,0,29.4471562622714,33.5189651918841,41.0335002113853,11025575.0646862,-38.2372673034668,0,0,0,0
4.09999999785214,0,11026613.2969801,690.198021854453,3195.92337937753,251.902083571588,4.04011491998972,9.27739335240976E-09,0,29.4489738715698,33.5161126610963,41.0326070258064,11025611.4446752,-38.2364742279053,0,0,0,0
4.31999999773689,0,11026647.5952147,726.45091332804,3195.93370657503,251.898526384,4.04011491998972,2.21450242618029E-08,0,29.4568011999532,33.5085588898954,41.0317138231924,11025648.8632509,-38.2356781005859,0,0,0,0
4.53999999762164,0,11026681.8923477,762.675939989091,3195.9440334664,251.894969279875,4.04011491998972,1.60565613095643E-08,0,29.4660684231309,33.4998487941237,41.030807599365,11025685.9109994,-38.2348720550537,0,0,0,0
4.75999999750638,0,11026716.1883792,798.92885802285,3195.9543600114,251.891412262908,4.04011491998972,1.58655539235738E-08,0,29.4720011983884,33.4936796079397,41.0298597399799,11025723.2064884,-38.234020614624,0,0,0,0
4.97999999739113,0,11026750.4833093,835.169490059602,3195.96468624209,251.887855328082,4.04011491998972,1.29248924564375E-08,0,29.4720182222822,33.4921907294086,41.0289435978172,11025760.3830951,-38.2332035064697,0,0,0,0
