TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
4622.1284180514,0,33442.4780324302,52677.8334584463,785.105581069132,784.573681007353,4.04011491998972,0.000155855925624194,0,-179.969158398571,179.19023013011,179.189983634006,30014.5707622477,87.5355529785156,0,0,0,0
4622.32841805159,0,33285.689480939,52685.5123798294,785.344316120664,784.812673130048,4.04011491998972,0.000155922302889066,0,-179.970026823966,179.227445721969,179.22713344157,29858.3717434699,87.4981414794922,0,0,0,0
4622.52841805178,0,33128.853255346,52693.2171022096,785.583372473424,785.051986630969,4.04011491998972,0.000156109604431579,0,-179.970780651595,179.251024790915,179.250695288666,29702.0661800475,87.4743896484375,0,0,0,0
4622.72841805196,0,32971.969291261,52700.9182045408,785.822750895654,785.291622220737,4.04011491998972,0.000156475131533478,0,-179.970884429472,179.246853918877,179.24655913546,29545.9108650237,87.4784423828125,0,0,0,0
4622.92841805215,0,32815.0375245621,52708.6347724464,786.062452146376,785.531580631676,4.04011491998972,0.000156931051150938,0,-179.970590133953,179.233590999089,179.23337543767,29392.2740539777,87.4914978027344,0,0,0,0
4623.12841805234,0,32658.0578666747,52716.3588375558,786.302476804463,785.77186245979,4.04011491998972,0.000149480869546439,0,-179.970337454461,179.227394247195,179.227140019899,29239.141546679,87.4975219726562,0,0,0,0
4623.32841805252,0,32501.0291184722,52724.087869487,786.542818009563,786.012460863598,4.04011491998972,0.000160207324531745,0,-179.970338615705,179.231319681669,179.23100042987,29085.8979137696,87.4933868408203,0,0,0,0
4623.52841805271,0,32343.9533177324,52731.8350058472,786.78349059813,786.253390693344,4.04011491998972,0.000160124156520026,0,-179.970499611199,179.237300180926,179.236950875532,28932.5938301506,87.4872741699219,0,0,0,0
4623.7284180529,0,32186.8296975462,52739.5788307598,787.024490640523,786.49464800946,4.04011491998972,0.000158396987643351,0,-179.970626879036,179.239905394135,179.239724341145,28779.2970032913,87.4845184326172,0,0,0,0
4623.92841805308,0,32029.6579517541,52747.3275249962,787.265817280008,786.736231946028,4.04011491998972,0.000158767537897292,0,-179.970668967859,179.239116298672,179.238721364066,28626.0888916467,87.4850769042969,0,0,0,0
4624.12841805327,0,31872.4380152497,52755.0944314955,787.507471277512,786.978143263546,4.04011491998972,0.000159161493795429,0,-179.97063875765,179.238075455047,179.237847825249,28473.0575078518,87.4859069824219,0,0,0,0
4624.32841805345,0,31715.1698225832,52762.866300938,787.749453404649,787.220382737013,4.04011491998972,0.00015954161022873,0,-179.970617708324,179.238447056309,179.238258809486,28320.2805683548,87.48544921875,0,0,0,0
4624.52841805364,0,31557.8533084477,52770.645704996,787.991764427229,787.462951134996,4.04011491998972,0.000159907039654837,0,-179.970654689164,179.239820185459,179.239544295925,28167.8098513687,87.4837738037109,0,0,0,0
4624.72841805383,0,31400.488407444,52778.4300813604,788.234405115083,787.705849227119,4.04011491998972,0.000160278802767668,0,-179.970720897933,179.241136908977,179.240703057069,28015.6636789356,87.4823699951172,0,0,0,0
4624.92841805401,0,31243.075053834,52786.2245912384,788.477376244012,787.949077788261,4.04011491998972,0.00016065297809953,0,-179.970767853013,179.241928438196,179.241760345809,27863.8218628153,87.4813720703125,0,0,0,0
4625.1284180542,0,31085.6131816242,52794.0323062815,788.72067859097,788.192637594164,4.04011491998972,0.000161034621935077,0,-179.970792461177,179.242602011609,179.242147568573,27712.2492201136,87.4804473876953,0,0,0,0
4625.32841805439,0,30928.102725053,52801.8368626059,788.96431293659,788.436529427581,4.04011491998972,0.000161417439361653,0,-179.970791920913,179.243456588925,179.243129319423,27560.9089217662,87.4794647216797,0,0,0,0
4625.52841805457,0,30770.5426616452,52809.6598232546,789.208273572604,788.680747575778,4.04011491998972,0.000164356529435237,0,-179.97081785727,179.244045908455,179.243568968175,27409.7532869157,87.4786895751953,0,0,0,0
4625.72841805476,0,30612.9339554119,52817.4904350953,789.452568269469,788.92529981305,4.04011491998972,0.000158330886388388,0,-179.970860089724,179.244818809737,179.244526665649,27258.725215256,87.4777191162109,0,0,0,0
4625.92841805494,0,30455.275827061,52825.3261633499,789.69719297062,789.170182081378,4.04011491998972,0.000165980652494202,0,-179.970910214938,179.24558839672,179.245330053431,27107.7676494386,87.4767944335938,0,0,0,0
4626.12841805513,0,30297.5703000112,52833.16957745,789.94216265903,789.415409370795,4.04011491998972,0.000164224331477287,0,-179.970927526491,179.246297554659,179.246004501279,26956.8260235597,87.4758483886719,0,0,0,0
4626.32841805532,0,30139.8159299832,52841.018119504,790.187468781218,789.660973122942,4.04011491998972,0.00016333210523805,0,-179.970935407714,179.247039398898,179.246783469722,26805.8481289401,87.4749206542969,0,0,0,0
4626.5284180555,0,29982.0125758403,52848.8852185003,790.433111626571,789.906873627429,4.04011491998972,0.000163724669753527,0,-179.970973126506,179.247851150477,179.247615241464,26654.788172234,87.4739288330078,0,0,0,0
4626.72841805569,0,29824.1601709612,52856.7492612169,790.679092007165,790.153111696329,4.04011491998972,0.000164111260627452,0,-179.971018387334,179.248534387121,179.24831775776,26503.6132331475,87.4730224609375,0,0,0,0
4626.92841805588,0,29666.2586480244,52864.6293210238,790.925410714951,790.399688121562,4.04011491998972,0.000164496582238335,0,-179.97104422332,179.249347379148,179.249021004429,26352.3148362183,87.4720306396484,0,0,0,0
4627.12841805606,0,29508.3079392903,52872.5171908501,791.1720685557,790.64660370949,4.04011491998972,0.000164885963376173,0,-179.971052828446,179.250047615258,179.249803041507,26200.8716002338,87.4711029052734,0,0,0,0
4627.32841805625,0,29350.3066122585,52880.4020330826,791.419056995559,790.893849920665,4.04011491998972,0.000160919808652639,0,-179.971083031511,179.250874612463,179.250586030865,26049.3065544413,87.4700347900391,0,0,0,0
4627.52841805643,0,29192.2562145031,52888.3029891653,791.666387875174,791.141438602779,4.04011491998972,0.000170025607711072,0,-179.971125595777,179.251570641243,179.251265138296,25897.6288423598,87.4691955566406,0,0,0,0
4627.72841805662,0,29034.1575462254,52896.2226741834,791.914067963188,791.389376526949,4.04011491998972,0.000166069091130742,0,-179.971166866882,179.252277609037,179.251944920424,25745.8451507924,87.4683013916016,0,0,0,0
4627.92841805681,0,28876.0094212146,52904.1367818482,792.162090420299,791.637656850484,4.04011491998972,0.000166466062815283,0,-179.971180577951,179.253042027364,179.252756288507,25593.9425308115,87.4673065185547,0,0,0,0
4628.12841805699,0,28717.8117710821,52912.0696846685,792.41045606858,791.886280395355,4.04011491998972,0.000166866822497651,0,-179.971198510519,179.253806159308,179.253411255769,25441.9056697568,87.4663055419922,0,0,0,0
4628.32841805718,0,28559.5645271457,52919.9996468317,792.659165726267,792.135247980092,4.04011491998972,0.000167267958255546,0,-179.971234323669,179.254569039175,179.254250458025,25289.7336492376,87.4653594970703,0,0,0,0
4628.52841805737,0,28401.2676213169,52927.948464239,792.908220212979,792.384560424368,4.04011491998972,0.000167666777920433,0,-179.97127366148,179.255332902552,179.255116781736,25137.4279882024,87.4644134521484,0,0,0,0
4628.72841805755,0,28242.9209847879,52935.9026533253,793.15762035862,792.63421855828,4.04011491998972,0.000168067245919018,0,-179.971310531469,179.256103278067,179.255826463505,24984.9799741467,87.4634368896484,0,0,0,0
4628.92841805774,0,28084.5245486764,52943.8648546985,793.407366990021,792.884223208828,4.04011491998972,0.000168473981374172,0,-179.971331667861,179.25687648148,179.256615649188,24832.361179113,87.4624725341797,0,0,0,0
4629.12841805792,0,27926.0782438216,52951.8324620094,793.657460939924,793.134575208979,4.04011491998972,0.00016887621670599,0,-179.971357230405,179.257643721349,179.257590267749,24679.5357696616,87.4614593505859,0,0,0,0
4629.32841805811,0,27767.5820011218,52959.819050188,793.907903043636,793.385275394332,4.04011491998972,0.000169275692056032,0,-179.971392474853,179.258306520965,179.258038402983,24526.4601276514,87.4605804443359,0,0,0,0
4629.5284180583,0,27609.035751228,52967.8027942951,794.158694131709,793.636324594846,4.04011491998972,0.000169686631449163,0,-179.971421335911,179.259113382359,179.258856411908,24373.3475599662,87.4595397949219,0,0,0,0
4629.72841805848,0,27450.4384404156,52975.7946330639,794.409828235528,793.887716839543,4.04011491998972,0.000172786470187444,0,-179.971443408488,179.259838511468,179.259728176454,24220.5628512808,87.4585876464844,0,0,0,0
4629.92841805867,0,27291.7914389498,52983.8029099934,794.661316156026,794.1394629338,4.04011491998972,0.000173193545246639,0,-179.971468989329,179.260566936551,179.260362853507,24067.6367481311,87.4576538085937,0,0,0,0
4630.12841805886,0,27133.0947514889,52991.8083786258,794.913159263734,794.391564249372,4.04011491998972,0.000170916198349927,0,-179.971502338344,179.261374565779,179.261077514688,23914.5906101363,87.4566528320313,0,0,0,0
4630.32841805904,0,26974.3477775387,52999.8413034611,795.165354732569,794.64401795816,4.04011491998972,0.000171333055023565,0,-179.971538856177,179.262054166051,179.261845825404,23761.4692101209,87.4557403564453,0,0,0,0
4630.52841805923,0,26815.5504470347,53007.8714636451,795.417903417677,794.896824915023,4.04011491998972,0.0001717539395526,0,-179.971565119546,179.262880348023,179.262562007646,23608.2973288583,87.4546630859375,0,0,0,0
4630.72841805941,0,26656.702689562,53015.9098401133,795.670806173997,795.14998597585,4.04011491998972,0.000172163159856364,0,-179.971593548885,179.263608034639,179.26341152656,23455.0575837818,87.4537384033203,0,0,0,0
4630.9284180596,0,26497.8044345562,53023.9564585064,795.924063855176,795.403501993842,4.04011491998972,0.000172575089873053,0,-179.971625559367,179.264304603504,179.264022810093,23301.7180842103,87.4528076171875,0,0,0,0
4631.12841805979,0,26338.8556112991,53032.011343688,796.177677318479,795.657373826363,4.04011491998972,0.000173002543729063,0,-179.971641945984,179.265101756754,179.264874084047,23148.2384871302,87.4517730712891,0,0,0,0
4631.32841805997,0,26179.8561488791,53040.0718583158,796.431647437688,795.911602348119,4.04011491998972,0.000173424184212786,0,-179.9716735853,179.265874986857,179.265619824601,22994.5776401228,87.4508514404297,0,0,0,0
4631.52841806016,0,26020.8059760638,53048.1600568118,796.685975076932,796.166188422668,4.04011491998972,0.00017383819640602,0,-179.971708413581,179.266586085289,179.266259532009,22840.7114454673,87.4498718261719,0,0,0,0
4631.72841806035,0,25861.7050218424,53056.237222372,796.940661095646,796.421132909755,4.04011491998972,0.000174266043534469,0,-179.971738288003,179.26731863788,179.267300301077,22686.6348633078,87.4489227294922,0,0,0,0
4631.92841806053,0,25702.5532147182,53064.3311120889,797.195706374924,796.676436690762,4.04011491998972,0.000174692249293838,0,-179.971777386311,179.268142007556,179.267834716449,22532.3495290903,87.4478454589844,0,0,0,0
4632.12841806072,0,25543.3493285168,53072.4333889491,797.451103693719,796.932092540637,4.04011491998972,0.000177878164806932,0,-179.971792297166,179.268881381016,179.268690421462,22377.8921172352,87.4468902587891,0,0,0,0
4632.3284180609,0,25384.0952175091,53080.5440780158,797.70686742002,797.188114834426,4.04011491998972,0.000178306437949877,0,-179.971817571862,179.269591307974,179.269439956045,22223.3042790746,87.4459381103516,0,0,0,0
4632.52841806109,0,25224.7904234924,53088.6715896682,797.962995733831,797.444501750911,4.04011491998972,0.000175973294736042,0,-179.971862039458,179.270324527585,179.27008305789,22068.6049005247,87.4449829101563,0,0,0,0
4632.72841806128,0,25065.4344894064,53096.7881144167,798.21948682376,797.701251477597,4.04011491998972,0.00017640720109222,0,-179.971876716353,179.271146236445,179.270914596524,21913.8169128935,87.4439300537109,0,0,0,0
4632.92841806146,0,24906.0273426451,53104.9215021883,798.476341580396,797.958364905339,4.04011491998972,0.000176834812826978,0,-179.971901437095,179.271824317471,179.271478421339,21758.9641034354,87.4430236816406,0,0,0,0
4633.12841806165,0,24746.5689109865,53113.0717975971,798.733560890379,798.215842920397,4.04011491998972,0.000177271205518578,0,-179.97193768645,179.272653798401,179.272338537963,21604.0629928286,87.4419616699219,0,0,0,0
4633.32841806184,0,24587.0591216778,53121.2222224604,798.991145651144,798.473686421098,4.04011491998972,0.000177705006158532,0,-179.971974966003,179.273426673063,179.273091686159,21449.1198501478,87.440869140625,0,0,0,0
4633.52841806202,0,24427.4979018412,53129.3896104347,799.249096754458,798.731896299093,4.04011491998972,0.000178135869601022,0,-179.971997955023,179.274090052682,179.273899752418,21294.1361569588,87.4400329589844,0,0,0,0
4633.72841806221,0,24267.8851784635,53137.5655887025,799.507415103956,798.990473457612,4.04011491998972,0.000178577343031616,0,-179.972033145499,179.27489749273,179.274546793407,21139.118170644,87.4389465332031,0,0,0,0
4633.92841806239,0,24108.2208782868,53145.7501753174,799.766101601621,799.249418799983,4.04011491998972,0.000179017480407674,0,-179.972061102245,179.275639607576,179.275383448268,20984.1024158072,87.4380126953125,0,0,0,0
