TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,0,1993772.04476529,0.85174703697539,356.976188061451,341.866420219036,4.04011491998972,8.36741070551348E-08,0,-179.335784450569,163.883009363167,163.870727622831,1990306.30264817,89.3887908935547,0,0,0,0
0.0200000000186265,0,1993765.20782294,1.03258058557944,356.976361417582,341.866690901955,4.04011491998972,7.77031454417932E-08,0,-179.337858303,163.882988066296,163.870784171271,1990299.58131057,89.3887908935547,0,0,0,0
0.220000000204891,0,1993696.83810451,2.90323725481567,356.978095081719,341.869397823465,4.04011491998972,8.319489199501E-08,0,-179.354497555474,163.882948356095,163.871349666208,1990232.36497046,89.3888549804688,0,0,0,0
0.420000000391155,0,1993628.46785964,4.78255409129908,356.979828939059,341.872104912321,4.04011491998972,8.41973998951916E-08,0,-179.360714358173,163.883335997928,163.871958209526,1990165.14361704,89.3887908935547,0,0,0,0
0.62000000057742,0,1993560.09706528,6.65445084705132,356.981562990912,341.874812171591,4.04011491998972,8.22668995279273E-08,0,-179.363682400349,163.883860571193,163.872583987245,1990097.91777244,89.3885681152344,0,0,0,0
0.820000000763685,0,1993491.72572927,8.52512505226849,356.983297233763,341.877519597641,4.04011491998972,8.18775158353128E-08,0,-179.363857146928,163.88445039852,163.873187657733,1990030.68764152,89.3885009765625,0,0,0,0
1.02000000094995,0,1993423.35386052,10.4044521560006,356.985031673286,341.880227194183,4.04011491998972,7.97180267232064E-08,0,-179.361482064799,163.885115442928,163.873766759664,1989963.45363535,89.3886962890625,0,0,0,0
1.22000000113621,0,1993354.98144029,12.2837848628561,356.986766306397,341.882934958262,4.04011491998972,7.97959262557959E-08,0,-179.358885337741,163.88580865595,163.874364325421,1989896.21583922,89.3886047363281,0,0,0,0
1.42000000132248,0,1993286.60849257,14.1470478639008,356.9885011338,341.885642892685,4.04011491998972,8.18027588413621E-08,0,-179.357482482858,163.886463748222,163.874964371938,1989828.97454878,89.3886322021484,0,0,0,0
1.62000000150874,0,1993218.23500838,16.026388335658,356.990236153261,341.888350993868,4.04011491998972,8.30406199726382E-08,0,-179.357309365156,163.887073250186,163.875565669917,1989761.72993298,89.3888244628906,0,0,0,0
1.82000000169501,0,1993149.86097522,17.9057333177384,356.991971367548,341.891059265456,4.04011491998972,8.50180616690918E-08,0,-179.358311958356,163.887624654185,163.876149773619,1989694.48210834,89.3885406494141,0,0,0,0
2.02000000188127,0,1993081.48638728,19.785081973918,356.993706775483,341.893767705243,4.04011491998972,8.04416548402898E-08,0,-179.359995084256,163.888159299816,163.876754803964,1989627.23139124,89.3885437011719,0,0,0,0
2.22000000206754,0,1993013.11126525,21.6483606319489,356.995442377356,341.896476314281,4.04011491998972,7.82336527622595E-08,0,-179.361655015582,163.888697798866,163.877347558345,1989559.97787068,89.3884429931641,0,0,0,0
2.4200000022538,0,1992944.73559692,23.5277185766362,356.997178171661,341.89918509115,4.04011491998972,8.22056629284628E-08,0,-179.362675931817,163.889258939882,163.877948942767,1989492.72185989,89.3885345458984,0,0,0,0
2.62000000244007,0,1992876.35939183,25.4070804365792,356.998914161778,341.901894039004,4.04011491998972,8.20143543191239E-08,0,-179.362754858306,163.889853360508,163.878538050224,1989425.4688322,89.3885711669922,0,0,0,0
2.82000000262633,0,1992807.98263864,27.2777959402687,357.000650344238,341.904603153956,4.04011491998972,8.2117367938838E-08,0,-179.36195737819,163.890480947663,163.879137018091,1989358.2091632,89.3883819580078,0,0,0,0
3.02000000281259,0,1992739.6053422,29.149740371974,357.002386721585,341.907312439048,4.04011491998972,8.37707698225283E-08,0,-179.360696734201,163.891123667108,163.879738467504,1989290.94807424,89.3884094238281,0,0,0,0
3.22000000299886,0,1992671.22750958,31.0291154521641,357.004123291555,341.910021891085,4.04011491998972,8.43546753080055E-08,0,-179.359493800214,163.891763382685,163.880337478831,1989223.68623657,89.3885101318359,0,0,0,0
3.42000000318512,0,1992602.84914704,32.908494432388,357.005860058675,341.912731515665,4.04011491998972,8.14932585674407E-08,0,-179.358820672182,163.892386092134,163.880936511833,1989156.42360583,89.3884124755859,0,0,0,0
3.62000000337139,0,1992534.4702363,34.7717997592671,357.00759701499,341.915441304747,4.04011491998972,8.16721789030627E-08,0,-179.358889879178,163.892983655184,163.881535566322,1989089.16101767,89.3883758544922,0,0,0,0
3.82000000355765,0,1992466.09077603,36.6511874088345,357.009334169195,341.918151266698,4.04011491998972,8.39778384121255E-08,0,-179.359610415361,163.893551238032,163.882126031595,1989021.89898202,89.3885711669922,0,0,0,0
4.02000000374392,0,1992397.71076815,38.5305793535017,357.011071516511,341.920861396709,4.04011491998972,8.00172509909826E-08,0,-179.360630484746,163.894112637775,163.88272266881,1988954.63815365,89.3886993408203,0,0,0,0
4.22000000393018,0,1992329.33022095,40.4013229497435,357.012809056545,341.923571694579,4.04011491998972,7.73660767919409E-08,0,-179.361545072381,163.894677362455,163.883320557842,1988887.37906554,89.3883148193359,0,0,0,0
4.42000000411645,0,1992260.9491347,42.2732961735992,357.014546789394,341.926282161209,4.04011491998972,8.43867316144365E-08,0,-179.362048218606,163.895256089461,163.883916007836,1988820.12207009,89.3884399414062,0,0,0,0
4.62000000430271,0,1992192.56748895,44.1527010434619,357.016284719567,341.928992799464,4.04011491998972,8.5375904817409E-08,0,-179.361989295868,163.895852062832,163.884506557888,1988752.86756301,89.3885375976563,0,0,0,0
