Высоты, Вертикальная скорость, Время
1990000.00000000000000000000, 356.00000000000000000000, 0.00000000000000000000
1989964.39999999999997726263, 356.00135815344800985227, 0.10000000000000000555
1989928.79986418465512088005, 356.00271635105258746790, 0.20000000000000001110
1989893.19959254954983407515, 356.00407459281605482282, 0.30000000000000001665
1989857.59918509026817901031, 356.00543287874073403176, 0.40000000000000002220
1989821.99864180239410416107, 356.00679120882894737599, 0.50000000000000002776
1989786.39796268151121694245, 356.00814958308301733103, 0.60000000000000003331
1989750.79714772320289739582, 356.00950800150526651122, 0.70000000000000003886
1989715.19619692305241187569, 356.01086646409801772517, 0.80000000000000004441
1989679.59511027664257198921, 356.01222497086359392027, 0.90000000000000004996
1989643.99388777955618934357, 356.01358352180431823819, 1.00000000000000005551
1989608.39252942737573448539, 356.01494211692251401491, 1.10000000000000006106
1989572.79103521568345058768, 356.01630075622050469741, 1.20000000000000006661
1989537.18940514006135344971, 356.01765943970061395474, 1.30000000000000007216
1989501.58763919609134518396, 356.01901816736516562245, 1.40000000000000007772
1989465.98573737935487315553, 356.02037693921648367490, 1.50000000000000008327
1989430.38369968543327104271, 356.02173575525689225296, 1.60000000000000008882
1989394.78152610990753146325, 356.02309461548871571956, 1.70000000000000009437
1989359.17921664835864703491, 356.02445351991427854865, 1.80000000000000009992
1989323.57677129636726931494, 356.02581246853590543622, 1.90000000000000010547
1989287.97419004951370880008, 356.02717146135592121703, 2.00000000000000011102
1989252.37147290337816230021, 356.02853049837665089239, 2.10000000000000011657
1989216.76861985354048556474, 356.02988957960041965789, 2.20000000000000012212
1989181.16563089558042065619, 356.03124870502955287566, 2.30000000000000012768
1989145.56250602507748226344, 356.03260787466637604659, 2.40000000000000013323
1989109.95924523761084401485, 356.03396708851321486589, 2.50000000000000013878
1989074.35584852875956585194, 356.03532634657239522302, 2.60000000000000014433
1989038.75231589410236665572, 356.03668564884624314626, 2.70000000000000014988
1989003.14864732921773793350, 356.03804499533708483039, 2.80000000000000015543
